numero,GPU Manhattan,CPU Manhattan,GPU Euclidean,CPU Euclidean
33M,0.9657846050428582,0.9636661828841402,0.9734085200947289,0.9703323198919545
66M,0.920933548775964,0.9226640774691877,0.9332965015304622,0.9312314042319783
100M,0.8549180297658182,0.8732590398323767,0.8909687385381576,0.8833069171880074
134M,0.8249220816969223,0.8585928521426345,0.888555296374676,0.8821266571949975
168M,0.8966773835472565,0.9083554576712703,0.9398286969830467,0.9443096940147423
202M,0.8949587940126005,0.8986281471657452,0.964656703612625,0.966996827314115
236M,0.8846133961710392,0.8841870008247156,0.9783648811384664,0.9703551296502809
270M,0.8727001583781626,0.8730451468013933,0.9634317065130285,0.9600338046680469
