numero,GPU Manhattan,CPU Euclidean
33M,18.28581538687103,1.423444716203178
66M,19.586994343040473,1.4550517246720263
100M,20.222841643043736,1.3145667488743336
134M,20.21135479333113,1.3555739238315891
168M,20.499714522035166,1.3066510062390428
202M,19.515738296147372,1.404377729627218
236M,21.05831786922454,1.3586590851054132
270M,19.376742777395112,1.3495856111560725
