numero,GPU Manhattan,CPU Manhattan,GPU Euclidean
33M,19.32195602858574,1.2934130256156757,19.468456642754564
66M,29.21552686545527,1.2603131271560646,27.87672243885375
100M,29.880335750429026,1.2299807258146112,29.75118538204236
134M,28.66697769870349,1.2280439970248376,28.6565120711218
168M,29.080077111392338,1.2282055329050126,29.069786733164726
202M,27.997639009366065,1.2347517773337016,28.681881577659816
236M,29.33509596051639,1.2204779135826387,29.39643525041868
270M,26.280767650962627,1.2441309847758906,26.212078812253665
