numero,GPU Manhattan,CPU Manhattan,GPU Euclidean,CPU Euclidean
33M,1.3798321947406393,1.344727070458764,1.3793515927977638,1.3349078892360815
66M,1.3960335540727375,1.3581059507116398,1.3909104961538596,1.3555030816761449
100M,1.459033181921666,1.406903607616716,1.458800684105108,1.402494763389315
134M,1.45495298202789,1.4097437559198607,1.426271201929566,1.399605667090764
168M,1.4410199213765336,1.3992099034837495,1.442518076463043,1.3793008365650017
202M,1.4438186048135784,1.3937290665030722,1.4353941162758554,1.3859568546164982
236M,1.4370598336105436,1.3935527847577376,1.4370457344163716,1.3837034188343427
270M,1.4336251219319327,1.3815459891122661,1.430990076679206,1.3799243211986136
