numero,GPU Manhattan,GPU Euclidean,CPU Manhattan
33M,27.020382103999797,1.1753653790002283,26.750600374267616
66M,29.648532055354924,1.2335157855342265,28.67038779041287
100M,30.54855219580189,1.241433033584151,30.227478429161934
134M,29.49322085291727,1.210360868515753,29.752315874607458
168M,30.479833434807226,1.2089956241281155,30.64494023310453
202M,26.42285185377585,1.2416839404573077,27.092513717923442
236M,27.836482869643017,1.2043303866154125,28.372926930677753
270M,28.213684086410506,1.2315178378629086,29.961796122057326
