numero,GPU Manhattan,GPU Euclidean,CPU Manhattan,CPU Euclidean
33M,161.17921911225824,51.344585538919866,175.52999170057643,43.34807253752492
66M,778.3875186583894,47.16250014657311,786.2066746859771,37.6437997624606
100M,795.5596978892407,46.40997128329838,841.0707076526382,37.95928368375204
134M,745.531181975753,47.258949215048105,746.0166742754955,38.644087646612874
168M,761.5936941210257,47.11583838840248,760.5573384213085,38.50569877763759
202M,749.0291304785786,48.44577684136466,760.7343696409977,39.383261333790436
236M,664.3985228778001,45.966165635674436,642.3952526557904,37.97781320235757
270M,617.4131700801514,52.354057665767485,578.2394664857621,42.340171555380834
